"date","beach","ecoli","status","rain","DOY"
2014-06-20,"BRT",24.5950948584936,"swim",FALSE,2019-06-20
2014-06-20,"MNY",15.5184557391536,"swim",FALSE,2019-06-20
2014-06-20,"PEB",37.2791927319135,"swim",FALSE,2019-06-20
2014-06-20,"PRB",47.5015651497016,"swim",FALSE,2019-06-20
2014-06-20,"WBO",39.4870097166964,"swim",FALSE,2019-06-20
2014-06-21,"BRT",13.1950791077289,"swim",FALSE,2019-06-21
2014-06-21,"MNY",31.7767152314644,"swim",FALSE,2019-06-21
2014-06-21,"PEB",14.3096908110526,"swim",FALSE,2019-06-21
2014-06-21,"PRB",30.6388706280041,"swim",FALSE,2019-06-21
2014-06-21,"WBO",11.4869835499704,"swim",FALSE,2019-06-21
2014-06-22,"BRT",35.1948202893552,"swim",FALSE,2019-06-22
2014-06-22,"MNY",10,"swim",FALSE,2019-06-22
2014-06-22,"PEB",17.4110112659225,"swim",FALSE,2019-06-22
2014-06-22,"PRB",36.5018605135924,"swim",FALSE,2019-06-22
2014-06-22,"WBO",11.4869835499704,"swim",FALSE,2019-06-22
2014-06-23,"BRT",14.3096908110526,"swim",FALSE,2019-06-23
2014-06-23,"MNY",20.4767251107922,"swim",FALSE,2019-06-23
2014-06-23,"PEB",22.6793315526605,"swim",FALSE,2019-06-23
2014-06-23,"PRB",24.7011449086334,"swim",FALSE,2019-06-23
2014-06-23,"WBO",29.9255573947769,"swim",FALSE,2019-06-23
2014-06-24,"BRT",10,"no swim",TRUE,2019-06-24
2014-06-24,"MNY",28.6193816221051,"no swim",TRUE,2019-06-24
2014-06-24,"PEB",13.1950791077289,"no swim",TRUE,2019-06-24
2014-06-24,"PRB",29.5797296766199,"no swim",TRUE,2019-06-24
2014-06-24,"WBO",60,"no swim",TRUE,2019-06-24
2014-06-25,"BRT",17,"no swim",TRUE,2019-06-25
2014-06-25,"MNY",830,"no swim",TRUE,2019-06-25
2014-06-25,"PEB",87,"no swim",TRUE,2019-06-25
2014-06-25,"PRB",1000,"no swim",TRUE,2019-06-25
2014-06-25,"WBO",508,"no swim",TRUE,2019-06-25
2014-06-26,"BRT",53,"swim",FALSE,2019-06-26
2014-06-26,"MNY",109,"no swim",FALSE,2019-06-26
2014-06-26,"PEB",736,"no swim",FALSE,2019-06-26
2014-06-26,"PRB",404,"no swim",FALSE,2019-06-26
2014-06-26,"WBO",456,"no swim",FALSE,2019-06-26
2014-06-27,"BRT",31,"swim",FALSE,2019-06-27
2014-06-27,"MNY",45,"swim",FALSE,2019-06-27
2014-06-27,"PEB",187,"no swim",FALSE,2019-06-27
2014-06-27,"PRB",135,"no swim",FALSE,2019-06-27
2014-06-27,"WBO",99,"no swim",FALSE,2019-06-27
2014-06-28,"BRT",20,"swim",FALSE,2019-06-28
2014-06-28,"MNY",41,"swim",FALSE,2019-06-28
2014-06-28,"PEB",88,"swim",FALSE,2019-06-28
2014-06-28,"PRB",73,"swim",FALSE,2019-06-28
2014-06-28,"WBO",23,"swim",FALSE,2019-06-28
2014-06-29,"BRT",27,"swim",FALSE,2019-06-29
2014-06-29,"MNY",32,"swim",FALSE,2019-06-29
2014-06-29,"PEB",57,"swim",FALSE,2019-06-29
2014-06-29,"PRB",50,"swim",FALSE,2019-06-29
2014-06-29,"WBO",19,"swim",FALSE,2019-06-29
2014-06-30,"BRT",24,"swim",FALSE,2019-06-30
2014-06-30,"MNY",59,"swim",FALSE,2019-06-30
2014-06-30,"PEB",29,"swim",FALSE,2019-06-30
2014-06-30,"PRB",39,"swim",FALSE,2019-06-30
2014-06-30,"WBO",27,"swim",FALSE,2019-06-30
2014-07-01,"BRT",16,"swim",FALSE,2019-07-01
2014-07-01,"MNY",20,"swim",FALSE,2019-07-01
2014-07-01,"PEB",26,"swim",FALSE,2019-07-01
2014-07-01,"PRB",22,"swim",FALSE,2019-07-01
2014-07-01,"WBO",11,"swim",FALSE,2019-07-01
2014-07-02,"BRT",95,"swim",FALSE,2019-07-02
2014-07-02,"MNY",75,"swim",FALSE,2019-07-02
2014-07-02,"PEB",16,"swim",FALSE,2019-07-02
2014-07-02,"PRB",217,"no swim",FALSE,2019-07-02
2014-07-02,"WBO",25,"swim",FALSE,2019-07-02
2014-07-03,"BRT",18,"swim",FALSE,2019-07-03
2014-07-03,"MNY",1000,"no swim",FALSE,2019-07-03
2014-07-03,"PEB",22,"swim",FALSE,2019-07-03
2014-07-03,"PRB",62,"swim",FALSE,2019-07-03
2014-07-03,"WBO",21,"swim",FALSE,2019-07-03
2014-07-04,"BRT",22,"swim",FALSE,2019-07-04
2014-07-04,"MNY",72,"swim",FALSE,2019-07-04
2014-07-04,"PEB",30,"swim",FALSE,2019-07-04
2014-07-04,"PRB",122,"swim",FALSE,2019-07-04
2014-07-04,"WBO",14,"swim",FALSE,2019-07-04
2014-07-05,"BRT",12,"swim",FALSE,2019-07-05
2014-07-05,"MNY",24,"swim",FALSE,2019-07-05
2014-07-05,"PEB",34,"swim",FALSE,2019-07-05
2014-07-05,"PRB",27,"swim",FALSE,2019-07-05
2014-07-05,"WBO",26,"swim",FALSE,2019-07-05
2014-07-06,"BRT",16,"swim",FALSE,2019-07-06
2014-07-06,"MNY",35,"swim",FALSE,2019-07-06
2014-07-06,"PEB",20,"swim",FALSE,2019-07-06
2014-07-06,"PRB",29,"swim",FALSE,2019-07-06
2014-07-06,"WBO",11,"swim",FALSE,2019-07-06
2014-07-07,"BRT",12,"swim",FALSE,2019-07-07
2014-07-07,"MNY",207,"no swim",FALSE,2019-07-07
2014-07-07,"PEB",10,"swim",FALSE,2019-07-07
2014-07-07,"PRB",39,"no swim",TRUE,2019-07-07
2014-07-07,"WBO",18,"swim",FALSE,2019-07-07
2014-07-08,"BRT",13,"swim",FALSE,2019-07-08
2014-07-08,"MNY",24,"no swim",TRUE,2019-07-08
2014-07-08,"PEB",14,"no swim",TRUE,2019-07-08
2014-07-08,"PRB",157,"no swim",TRUE,2019-07-08
2014-07-08,"WBO",20,"no swim",TRUE,2019-07-08
2014-07-09,"BRT",36,"swim",FALSE,2019-07-09
2014-07-09,"MNY",1000,"no swim",FALSE,2019-07-09
2014-07-09,"PEB",38,"swim",FALSE,2019-07-09
2014-07-09,"PRB",604,"no swim",FALSE,2019-07-09
2014-07-09,"WBO",151,"swim",FALSE,2019-07-09
2014-07-10,"BRT",30,"swim",FALSE,2019-07-10
2014-07-10,"MNY",31,"swim",FALSE,2019-07-10
2014-07-10,"PEB",182,"swim",FALSE,2019-07-10
2014-07-10,"PRB",242,"no swim",FALSE,2019-07-10
2014-07-10,"WBO",45,"swim",FALSE,2019-07-10
2014-07-11,"BRT",16,"swim",FALSE,2019-07-11
2014-07-11,"MNY",19,"swim",FALSE,2019-07-11
2014-07-11,"PEB",32,"swim",FALSE,2019-07-11
2014-07-11,"PRB",59,"swim",FALSE,2019-07-11
2014-07-11,"WBO",22,"swim",FALSE,2019-07-11
2014-07-12,"BRT",12,"swim",FALSE,2019-07-12
2014-07-12,"MNY",24,"swim",FALSE,2019-07-12
2014-07-12,"PEB",16,"swim",FALSE,2019-07-12
2014-07-12,"PRB",29,"swim",FALSE,2019-07-12
2014-07-12,"WBO",15,"swim",FALSE,2019-07-12
2014-07-13,"BRT",10,"swim",FALSE,2019-07-13
2014-07-13,"MNY",31,"no swim",TRUE,2019-07-13
2014-07-13,"PEB",10,"no swim",TRUE,2019-07-13
2014-07-13,"PRB",25,"no swim",TRUE,2019-07-13
2014-07-13,"WBO",16,"no swim",TRUE,2019-07-13
2014-07-14,"BRT",22,"swim",FALSE,2019-07-14
2014-07-14,"MNY",262,"no swim",FALSE,2019-07-14
2014-07-14,"PEB",11,"swim",FALSE,2019-07-14
2014-07-14,"PRB",215,"no swim",FALSE,2019-07-14
2014-07-14,"WBO",18,"swim",FALSE,2019-07-14
2014-07-15,"BRT",18,"swim",FALSE,2019-07-15
2014-07-15,"MNY",18,"swim",FALSE,2019-07-15
2014-07-15,"PEB",18,"swim",FALSE,2019-07-15
2014-07-15,"PRB",81,"swim",FALSE,2019-07-15
2014-07-15,"WBO",17,"swim",FALSE,2019-07-15
2014-07-16,"BRT",10,"swim",FALSE,2019-07-16
2014-07-16,"MNY",79,"swim",FALSE,2019-07-16
2014-07-16,"PEB",17,"swim",FALSE,2019-07-16
2014-07-16,"PRB",40,"swim",FALSE,2019-07-16
2014-07-16,"WBO",19,"swim",FALSE,2019-07-16
2014-07-17,"BRT",18,"swim",FALSE,2019-07-17
2014-07-17,"MNY",22,"swim",FALSE,2019-07-17
2014-07-17,"PEB",14,"swim",FALSE,2019-07-17
2014-07-17,"PRB",22,"swim",FALSE,2019-07-17
2014-07-17,"WBO",52,"swim",FALSE,2019-07-17
2014-07-18,"BRT",13,"swim",FALSE,2019-07-18
2014-07-18,"MNY",54,"swim",FALSE,2019-07-18
2014-07-18,"PEB",15,"swim",FALSE,2019-07-18
2014-07-18,"PRB",18,"swim",FALSE,2019-07-18
2014-07-18,"WBO",25,"swim",FALSE,2019-07-18
2014-07-19,"BRT",10,"swim",FALSE,2019-07-19
2014-07-19,"MNY",17,"swim",FALSE,2019-07-19
2014-07-19,"PEB",26,"swim",FALSE,2019-07-19
2014-07-19,"PRB",37,"swim",FALSE,2019-07-19
2014-07-19,"WBO",36,"swim",FALSE,2019-07-19
2014-07-20,"BRT",24,"swim",FALSE,2019-07-20
2014-07-20,"MNY",10,"swim",FALSE,2019-07-20
2014-07-20,"PEB",22,"swim",FALSE,2019-07-20
2014-07-20,"PRB",23,"swim",FALSE,2019-07-20
2014-07-20,"WBO",23,"swim",FALSE,2019-07-20
2014-07-21,"BRT",29,"swim",FALSE,2019-07-21
2014-07-21,"MNY",27,"swim",FALSE,2019-07-21
2014-07-21,"PEB",36,"swim",FALSE,2019-07-21
2014-07-21,"PRB",27,"swim",FALSE,2019-07-21
2014-07-21,"WBO",29,"swim",FALSE,2019-07-21
2014-07-22,"BRT",11,"swim",FALSE,2019-07-22
2014-07-22,"MNY",33,"swim",FALSE,2019-07-22
2014-07-22,"PEB",29,"swim",FALSE,2019-07-22
2014-07-22,"PRB",16,"swim",FALSE,2019-07-22
2014-07-22,"WBO",10,"swim",FALSE,2019-07-22
2014-07-23,"BRT",15,"swim",FALSE,2019-07-23
2014-07-23,"MNY",118,"swim",FALSE,2019-07-23
2014-07-23,"PEB",11,"swim",FALSE,2019-07-23
2014-07-23,"PRB",21,"swim",FALSE,2019-07-23
2014-07-23,"WBO",33,"swim",FALSE,2019-07-23
2014-07-24,"BRT",17,"swim",FALSE,2019-07-24
2014-07-24,"MNY",33,"swim",FALSE,2019-07-24
2014-07-24,"PEB",10,"swim",FALSE,2019-07-24
2014-07-24,"PRB",20,"swim",FALSE,2019-07-24
2014-07-24,"WBO",11,"swim",FALSE,2019-07-24
2014-07-25,"BRT",10,"swim",FALSE,2019-07-25
2014-07-25,"MNY",26,"swim",FALSE,2019-07-25
2014-07-25,"PEB",10,"swim",FALSE,2019-07-25
2014-07-25,"PRB",27,"swim",FALSE,2019-07-25
2014-07-25,"WBO",21,"swim",FALSE,2019-07-25
2014-07-26,"BRT",18,"swim",FALSE,2019-07-26
2014-07-26,"MNY",27,"swim",FALSE,2019-07-26
2014-07-26,"PEB",11,"swim",FALSE,2019-07-26
2014-07-26,"PRB",37,"swim",FALSE,2019-07-26
2014-07-26,"WBO",11,"swim",FALSE,2019-07-26
2014-07-27,"BRT",11,"swim",FALSE,2019-07-27
2014-07-27,"MNY",16,"swim",FALSE,2019-07-27
2014-07-27,"PEB",10,"swim",FALSE,2019-07-27
2014-07-27,"PRB",30,"swim",FALSE,2019-07-27
2014-07-27,"WBO",27,"swim",FALSE,2019-07-27
2014-07-28,"BRT",11,"swim",FALSE,2019-07-28
2014-07-28,"MNY",44,"swim",FALSE,2019-07-28
2014-07-28,"PEB",10,"swim",FALSE,2019-07-28
2014-07-28,"PRB",28,"swim",FALSE,2019-07-28
2014-07-28,"WBO",139,"swim",FALSE,2019-07-28
2014-07-29,"BRT",10,"swim",FALSE,2019-07-29
2014-07-29,"MNY",41,"swim",FALSE,2019-07-29
2014-07-29,"PEB",10,"swim",FALSE,2019-07-29
2014-07-29,"PRB",26,"swim",FALSE,2019-07-29
2014-07-29,"WBO",40,"swim",FALSE,2019-07-29
2014-07-30,"BRT",17,"swim",FALSE,2019-07-30
2014-07-30,"MNY",24,"no swim",TRUE,2019-07-30
2014-07-30,"PEB",14,"no swim",TRUE,2019-07-30
2014-07-30,"PRB",35,"no swim",TRUE,2019-07-30
2014-07-30,"WBO",45,"no swim",TRUE,2019-07-30
2014-07-31,"BRT",13,"swim",FALSE,2019-07-31
2014-07-31,"MNY",29,"swim",FALSE,2019-07-31
2014-07-31,"PEB",15,"swim",FALSE,2019-07-31
2014-07-31,"PRB",89,"swim",FALSE,2019-07-31
2014-07-31,"WBO",40,"no swim",TRUE,2019-07-31
2014-08-01,"BRT",17,"swim",FALSE,2019-08-01
2014-08-01,"MNY",47,"swim",FALSE,2019-08-01
2014-08-01,"PEB",23,"swim",FALSE,2019-08-01
2014-08-01,"PRB",57,"swim",FALSE,2019-08-01
2014-08-01,"WBO",39,"swim",FALSE,2019-08-01
2014-08-02,"BRT",19,"swim",FALSE,2019-08-02
2014-08-02,"MNY",124,"swim",FALSE,2019-08-02
2014-08-02,"PEB",28,"swim",FALSE,2019-08-02
2014-08-02,"PRB",55,"swim",FALSE,2019-08-02
2014-08-02,"WBO",24,"swim",FALSE,2019-08-02
2014-08-03,"BRT",73,"swim",FALSE,2019-08-03
2014-08-03,"MNY",22,"swim",FALSE,2019-08-03
2014-08-03,"PEB",18,"swim",FALSE,2019-08-03
2014-08-03,"PRB",19,"swim",FALSE,2019-08-03
2014-08-03,"WBO",39,"swim",FALSE,2019-08-03
2014-08-04,"BRT",26,"swim",FALSE,2019-08-04
2014-08-04,"MNY",37,"swim",FALSE,2019-08-04
2014-08-04,"PEB",10,"swim",FALSE,2019-08-04
2014-08-04,"PRB",17,"swim",FALSE,2019-08-04
2014-08-04,"WBO",17,"swim",FALSE,2019-08-04
2014-08-05,"BRT",25,"swim",FALSE,2019-08-05
2014-08-05,"MNY",45,"swim",FALSE,2019-08-05
2014-08-05,"PEB",10,"swim",FALSE,2019-08-05
2014-08-05,"PRB",34,"swim",FALSE,2019-08-05
2014-08-05,"WBO",34,"swim",FALSE,2019-08-05
2014-08-06,"BRT",23,"swim",FALSE,2019-08-06
2014-08-06,"MNY",14,"swim",FALSE,2019-08-06
2014-08-06,"PEB",10,"swim",FALSE,2019-08-06
2014-08-06,"PRB",19,"swim",FALSE,2019-08-06
2014-08-06,"WBO",22,"swim",FALSE,2019-08-06
2014-08-07,"BRT",60,"swim",FALSE,2019-08-07
2014-08-07,"MNY",24,"swim",FALSE,2019-08-07
2014-08-07,"PEB",11,"swim",FALSE,2019-08-07
2014-08-07,"PRB",22,"swim",FALSE,2019-08-07
2014-08-07,"WBO",15,"swim",FALSE,2019-08-07
2014-08-08,"BRT",53,"swim",FALSE,2019-08-08
2014-08-08,"MNY",16,"swim",FALSE,2019-08-08
2014-08-08,"PEB",26,"swim",FALSE,2019-08-08
2014-08-08,"PRB",32,"swim",FALSE,2019-08-08
2014-08-08,"WBO",27,"swim",FALSE,2019-08-08
2014-08-09,"BRT",11,"swim",FALSE,2019-08-09
2014-08-09,"MNY",14,"swim",FALSE,2019-08-09
2014-08-09,"PEB",10,"swim",FALSE,2019-08-09
2014-08-09,"PRB",41,"swim",FALSE,2019-08-09
2014-08-09,"WBO",10,"swim",FALSE,2019-08-09
2014-08-10,"BRT",14,"swim",FALSE,2019-08-10
2014-08-10,"MNY",50,"swim",FALSE,2019-08-10
2014-08-10,"PEB",24,"swim",FALSE,2019-08-10
2014-08-10,"PRB",31,"swim",FALSE,2019-08-10
2014-08-10,"WBO",16,"swim",FALSE,2019-08-10
2014-08-11,"BRT",13,"swim",FALSE,2019-08-11
2014-08-11,"MNY",37,"swim",FALSE,2019-08-11
2014-08-11,"PEB",33,"swim",FALSE,2019-08-11
2014-08-11,"PRB",40,"swim",FALSE,2019-08-11
2014-08-11,"WBO",16,"swim",FALSE,2019-08-11
2014-08-12,"BRT",18,"no swim",TRUE,2019-08-12
2014-08-12,"MNY",16,"no swim",TRUE,2019-08-12
2014-08-12,"PEB",31,"no swim",TRUE,2019-08-12
2014-08-12,"PRB",35,"no swim",TRUE,2019-08-12
2014-08-12,"WBO",43,"no swim",TRUE,2019-08-12
2014-08-13,"BRT",24,"swim",FALSE,2019-08-13
2014-08-13,"MNY",116,"swim",FALSE,2019-08-13
2014-08-13,"PEB",34,"swim",FALSE,2019-08-13
2014-08-13,"PRB",156,"no swim",TRUE,2019-08-13
2014-08-13,"WBO",160,"no swim",TRUE,2019-08-13
2014-08-14,"BRT",71,"swim",FALSE,2019-08-14
2014-08-14,"MNY",426,"no swim",FALSE,2019-08-14
2014-08-14,"PEB",35,"swim",FALSE,2019-08-14
2014-08-14,"PRB",422,"no swim",FALSE,2019-08-14
2014-08-14,"WBO",77,"swim",FALSE,2019-08-14
2014-08-15,"BRT",10,"swim",FALSE,2019-08-15
2014-08-15,"MNY",53,"swim",FALSE,2019-08-15
2014-08-15,"PEB",142,"swim",FALSE,2019-08-15
2014-08-15,"PRB",115,"no swim",FALSE,2019-08-15
2014-08-15,"WBO",133,"swim",FALSE,2019-08-15
2014-08-16,"BRT",20,"swim",FALSE,2019-08-16
2014-08-16,"MNY",31,"swim",FALSE,2019-08-16
2014-08-16,"PEB",33,"swim",FALSE,2019-08-16
2014-08-16,"PRB",35,"swim",FALSE,2019-08-16
2014-08-16,"WBO",75,"swim",FALSE,2019-08-16
2015-06-19,"BRT",17.82602457966,"swim",FALSE,2019-06-19
2015-06-19,"MNY",66.5867670442397,"swim",FALSE,2019-06-19
2015-06-19,"PEB",33.658654363386,"swim",FALSE,2019-06-19
2015-06-19,"PRB",62.1581976745412,"swim",FALSE,2019-06-19
2015-06-19,"WBO",82.3430491073052,"swim",FALSE,2019-06-19
2015-06-20,"BRT",11.4869835499704,"swim",FALSE,2019-06-20
2015-06-20,"MNY",31.291346445319,"swim",FALSE,2019-06-20
2015-06-20,"PEB",42.27335859913,"swim",FALSE,2019-06-20
2015-06-20,"PRB",63.8160568948085,"swim",FALSE,2019-06-20
2015-06-20,"WBO",13.7972966146121,"swim",FALSE,2019-06-20
2015-06-21,"BRT",10,"swim",FALSE,2019-06-21
2015-06-21,"MNY",37.4332442331342,"swim",FALSE,2019-06-21
2015-06-21,"PEB",16.4375182951723,"swim",FALSE,2019-06-21
2015-06-21,"PRB",45.8034409784717,"swim",FALSE,2019-06-21
2015-06-21,"WBO",51.4352079675504,"swim",FALSE,2019-06-21
2015-06-22,"BRT",10,"swim",FALSE,2019-06-22
2015-06-22,"MNY",69.4869105371577,"swim",FALSE,2019-06-22
2015-06-22,"PEB",15.157165665104,"swim",FALSE,2019-06-22
2015-06-22,"PRB",44.2594949079837,"swim",FALSE,2019-06-22
2015-06-22,"WBO",595.563199429312,"no swim",FALSE,2019-06-22
2015-06-23,"BRT",10,"swim",FALSE,2019-06-23
2015-06-23,"MNY",45.3586631053211,"swim",FALSE,2019-06-23
2015-06-23,"PEB",15.5184557391536,"swim",FALSE,2019-06-23
2015-06-23,"PRB",25.063907803508,"swim",FALSE,2019-06-23
2015-06-23,"WBO",22.6793315526605,"swim",FALSE,2019-06-23
2015-06-24,"BRT",213.181067383051,"no swim",FALSE,2019-06-24
2015-06-24,"MNY",29.3015605158352,"swim",FALSE,2019-06-24
2015-06-24,"PEB",16.4375182951723,"swim",FALSE,2019-06-24
2015-06-24,"PRB",30.4526119754434,"swim",FALSE,2019-06-24
2015-06-24,"WBO",87.6540525127366,"swim",FALSE,2019-06-24
2015-06-25,"BRT",33.658654363386,"swim",FALSE,2019-06-25
2015-06-25,"MNY",36.8010961408917,"swim",FALSE,2019-06-25
2015-06-25,"PEB",15.157165665104,"swim",FALSE,2019-06-25
2015-06-25,"PRB",27.6174556539647,"swim",FALSE,2019-06-25
2015-06-25,"WBO",21.689435423954,"swim",FALSE,2019-06-25
2015-06-26,"BRT",12.4573093961552,"swim",FALSE,2019-06-26
2015-06-26,"MNY",37.9195532927946,"swim",FALSE,2019-06-26
2015-06-26,"PEB",13.1950791077289,"swim",FALSE,2019-06-26
2015-06-26,"PRB",35.6146380550835,"swim",FALSE,2019-06-26
2015-06-26,"WBO",44.3510041063671,"swim",FALSE,2019-06-26
2015-06-27,"BRT",10,"swim",FALSE,2019-06-27
2015-06-27,"MNY",75.9932523834808,"swim",FALSE,2019-06-27
2015-06-27,"PEB",13.1950791077289,"swim",FALSE,2019-06-27
2015-06-27,"PRB",35.1948202893552,"swim",FALSE,2019-06-27
2015-06-27,"WBO",14.3096908110526,"swim",FALSE,2019-06-27
2015-06-28,"BRT",12.4573093961552,"swim",FALSE,2019-06-28
2015-06-28,"MNY",195.151831659017,"swim",FALSE,2019-06-28
2015-06-28,"PEB",262.770343596564,"no swim",FALSE,2019-06-28
2015-06-28,"PRB",21.689435423954,"no swim",TRUE,2019-06-28
2015-06-28,"WBO",24.5950948584936,"swim",FALSE,2019-06-28
2015-06-29,"BRT",11.4869835499704,"swim",FALSE,2019-06-29
2015-06-29,"MNY",451.422796618345,"no swim",FALSE,2019-06-29
2015-06-29,"PEB",16.4375182951723,"swim",FALSE,2019-06-29
2015-06-29,"PRB",80.0337675340278,"swim",FALSE,2019-06-29
2015-06-29,"WBO",49.1901897169873,"swim",FALSE,2019-06-29
2015-06-30,"BRT",13.1950791077289,"swim",FALSE,2019-06-30
2015-06-30,"MNY",22.2064303492292,"swim",FALSE,2019-06-30
2015-06-30,"PEB",12.4573093961552,"swim",FALSE,2019-06-30
2015-06-30,"PRB",64.3330146336428,"swim",FALSE,2019-06-30
2015-06-30,"WBO",64.9068444639842,"swim",FALSE,2019-06-30
2015-07-01,"BRT",10,"no swim",TRUE,2019-07-01
2015-07-01,"MNY",12.4573093961552,"no swim",TRUE,2019-07-01
2015-07-01,"PEB",38.9805984091619,"no swim",TRUE,2019-07-01
2015-07-01,"PRB",53.8684660942275,"no swim",TRUE,2019-07-01
2015-07-01,"WBO",125.754352446593,"no swim",TRUE,2019-07-01
2015-07-02,"BRT",69.4250342942507,"swim",FALSE,2019-07-02
2015-07-02,"MNY",50.7303496327147,"swim",FALSE,2019-07-02
2015-07-02,"PEB",11.4869835499704,"swim",FALSE,2019-07-02
2015-07-02,"PRB",130.691875902646,"swim",FALSE,2019-07-02
2015-07-02,"WBO",1000,"no swim",FALSE,2019-07-02
2015-07-03,"BRT",36.2967808990371,"swim",FALSE,2019-07-03
2015-07-03,"MNY",35.8721402589629,"swim",FALSE,2019-07-03
2015-07-03,"PEB",53.7826878466285,"swim",FALSE,2019-07-03
2015-07-03,"PRB",273.201399494755,"no swim",FALSE,2019-07-03
2015-07-03,"WBO",82.3186728303538,"swim",FALSE,2019-07-03
2015-07-04,"BRT",10,"swim",FALSE,2019-07-04
2015-07-04,"MNY",51.1462278313015,"swim",FALSE,2019-07-04
2015-07-04,"PEB",40.9534502215844,"swim",FALSE,2019-07-04
2015-07-04,"PRB",42.581956027457,"swim",FALSE,2019-07-04
2015-07-04,"WBO",43.6466620018894,"swim",FALSE,2019-07-04
2015-07-05,"BRT",18.2056420302608,"swim",FALSE,2019-07-05
2015-07-05,"MNY",27.0192007704123,"swim",FALSE,2019-07-05
2015-07-05,"PEB",22.6793315526605,"swim",FALSE,2019-07-05
2015-07-05,"PRB",29.1369345857619,"swim",FALSE,2019-07-05
2015-07-05,"WBO",10,"swim",FALSE,2019-07-05
2015-07-06,"BRT",12.4573093961552,"swim",FALSE,2019-07-06
2015-07-06,"MNY",31.0369114783072,"swim",FALSE,2019-07-06
2015-07-06,"PEB",10,"swim",FALSE,2019-07-06
2015-07-06,"PRB",20.2784474453604,"swim",FALSE,2019-07-06
2015-07-06,"WBO",196.863131846809,"swim",FALSE,2019-07-06
2015-07-07,"BRT",12.4573093961552,"swim",FALSE,2019-07-07
2015-07-07,"MNY",25.5084900125158,"swim",FALSE,2019-07-07
2015-07-07,"PEB",22.3685382944029,"swim",FALSE,2019-07-07
2015-07-07,"PRB",31.0369114783072,"swim",FALSE,2019-07-07
2015-07-07,"WBO",27.8651802273122,"swim",FALSE,2019-07-07
2015-07-08,"BRT",312.816877298868,"no swim",FALSE,2019-07-08
2015-07-08,"MNY",11.4869835499704,"swim",FALSE,2019-07-08
2015-07-08,"PEB",12.4573093961552,"swim",FALSE,2019-07-08
2015-07-08,"PRB",34.0707832530888,"swim",FALSE,2019-07-08
2015-07-08,"WBO",11.4869835499704,"swim",FALSE,2019-07-08
2015-07-09,"BRT",131.397250972137,"no swim",FALSE,2019-07-09
2015-07-09,"MNY",22.6793315526605,"swim",FALSE,2019-07-09
2015-07-09,"PEB",72.5935617980741,"swim",FALSE,2019-07-09
2015-07-09,"PRB",71.9000061460043,"swim",FALSE,2019-07-09
2015-07-09,"WBO",83.0545419050461,"swim",FALSE,2019-07-09
2015-07-10,"BRT",23.5215804504935,"swim",FALSE,2019-07-10
2015-07-10,"MNY",33.1445401733999,"swim",FALSE,2019-07-10
2015-07-10,"PEB",27.2406992742666,"swim",FALSE,2019-07-10
2015-07-10,"PRB",36.5904669954705,"swim",FALSE,2019-07-10
2015-07-10,"WBO",17.4110112659225,"swim",FALSE,2019-07-10
2015-07-11,"BRT",24.9146187923103,"swim",FALSE,2019-07-11
2015-07-11,"MNY",26.0517108469735,"swim",FALSE,2019-07-11
